Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
Jules29,"Jules16,Jules18,Jules19,Jules30,Jules32",Lake Grant,5,125,599
Jules30,"Jules29,Jules31,Jules38",Lake Grant,5,179,693
Jules31,"Jules30,Jules38,Jules37,Jules32",Lake Grant,5,389,587
Jules32,"Jules31,Jules37,Jules33,Jules26,Jules27,Jules16,Jules29",Lake Grant,5,329,728
Jules33,"Jules32,Jules37,Jules41,Jules34,Jules26",Lava Land,4,418,705
Jules34,"Jules28,Jules26,Jules33,Jules41,Jules35",Lava Land,4,508,654
Jules35,"Jules34,Jules36,Jules41",Lava Land,4,505,583
Jules36,"Jules35,Jules41,Jules42",Lava Land,4,518,488
Jules37,"Jules41,Jules38,Jules31,Jules32,Jules33",Lava Land,4,629,553
Jules38,"Jules41,Jules40,Jules37,Jules31,Jules30,Jules39",Lava Land,4,697,501
Jules39,"Jules38,Jules19",Lava Land,4,806,468
Jules24,"Jules13,Jules17,Jules27,Jules26,Jules25,Jules16",Mount Franklin,5,914,402
Jules25,"Jules24,Jules26,Jules28",Mount Franklin,5,605,423
Jules26,"Jules24,Jules25,Jules28,Jules34,Jules33,Jules32,Jules27",Mount Franklin,5,744,420
Jules27,"Jules24,Jules26,Jules32,Jules16",Mount Franklin,5,756,357
Jules28,"Jules25,Jules26,Jules34",Mount Franklin,5,886,315
Jules1,"Jules2,Jules13",Serpentine Peninsula,3,697,323
Jules2,"Jules1,Jules3,Jules4",Serpentine Peninsula,3,997,444
Jules3,"Jules2,Jules4,Jules6,Jules7,Jules8",Serpentine Peninsula,3,1105,412
Jules4,"Jules2,Jules3,Jules5,Jules6",Serpentine Peninsula,3,1128,505
Jules5,"Jules4,Jules6,Jules21",Serpentine Peninsula,3,1144,615
Jules6,"Jules3,Jules4,Jules5,Jules7,Jules9",Serpentine Peninsula,3,1238,558
Jules7,"Jules3,Jules6,Jules8,Jules9",Serpentine Peninsula,3,1308,618
Jules40,"Jules41,Jules38",Shark Gulf,3,667,225
Jules41,"Jules42,Jules36,Jules35,Jules34,Jules33,Jules37,Jules38,Jules40",Shark Gulf,3,702,121
Jules42,"Jules36,Jules41,Jules19",Shark Gulf,3,752,196
Jules18,"Jules12,Jules21,Jules20,Jules19,Jules29,Jules16",Tadorn's Fen,4,825,228
Jules19,"Jules18,Jules29,Jules42,Jules20,Jules39",Tadorn's Fen,4,770,103
Jules20,"Jules19,Jules18,Jules21,Jules22",Tadorn's Fen,4,993,312
Jules21,"Jules18,Jules20,Jules22,Jules23,Jules5",Tadorn's Fen,4,1037,245
Jules22,"Jules21,Jules23,Jules20",Tadorn's Fen,4,994,200
Jules23,"Jules22,Jules21",Tadorn's Fen,4,907,215
Jules10,"Jules9,Jules13,Jules11,Jules14",Washington Bay,4,882,154
Jules11,"Jules10,Jules14,Jules12,Jules16",Washington Bay,4,844,95
Jules12,"Jules11,Jules16,Jules18",Washington Bay,4,969,73
Jules9,"Jules6,Jules7,Jules8,Jules10,Jules13",Washington Bay,4,1039,49
Jules13,"Jules1,Jules8,Jules9,Jules10,Jules14,Jules15,Jules17,Jules24",Western Forest,6,955,155
Jules14,"Jules13,Jules10,Jules11,Jules16,Jules15",Western Forest,6,1100,183
Jules15,"Jules14,Jules16,Jules17,Jules13",Western Forest,6,1122,289
Jules16,"Jules12,Jules18,Jules29,Jules32,Jules27,Jules24,Jules17,Jules15,Jules14,Jules11",Western Forest,6,1235,113
Jules17,"Jules13,Jules15,Jules24,Jules16",Western Forest,6,990,113
Jules8,"Jules3,Jules7,Jules9,Jules13",Western Forest,6,1155,45
